name,log2FoldChange,pvalue,padj
ABCB4,2.1383,0.000231218621277514,0.0167
ACP7,2.3748,0.00189523566672284,0.0586
ACY3,2.6126,3.39157934250076e-07,"0,0003"
ADAD2,2.0425,0.00103293398937556,0.0399
ADAM28,1.9679,2.14430590516626e-05,0.0035
ADORA3,1.9289,0.00103577477408634,0.0399
APBB1IP,2.2477,6.58783873281266e-07,"0,0004"
APLNR,2.4244,4.26875345724619e-05,0.0056
AQP3,2.8735,3.35912475885389e-06,0.0012
ARHGAP36,2.8408,0.00101378200835835,0.0395
ARRDC4,2.1075,3.43778164034393e-08,"0,0001"
ASPM,1.5991,0.00538802483963594,0.0977
ATP1B4,4.1967,0.00194139743991438,0.0595
B3GNT5,1.5877,9.85756054780948e-06,0.0022
BIN2,1769,0.00301421842728827,0.0738
BLNK,1.6759,0.00272872200216853,0.0691
BTBD16,3.1728,0.000990758211828292,0.0391
C10orf90,1.8267,0.00392739876231847,0.0839
C1QC,1.6863,0.00172399851570751,0.0551
C21orf62,2.95,1.1322454119641e-06,"0,0006"
C21orf91,1.6995,0.00319466607127216,0.0759
C3,2.9629,1.96956474287624e-08,"0,0001"
C3AR1,2.2153,1.80076970220354e-05,0.0033
CARNS1,2.6793,0.00196306580316816,0.0596
CCBE1,1.9265,2.8780242055638e-05,0.0043
CD300C,2.0199,0.00203912594815384,0.0605
CD37,1837,3.17554343552614e-05,0.0046
CD53,1.7943,1.72793109306504e-05,0.0033
CD84,2.1683,7.15890604668256e-08,"0,0001"
CDK18,1.7182,0.00358974498098169,0.0812
CEDORA,3.3233,2.22383382256893e-05,0.0036
CFAP95,2.8909,0.000415896584054202,0.0237
CFI,1.7512,0.000929391575842061,0.0379
CIMIP2B,2.5825,0.00108443802888858,0.0407
CLCA4,2.6079,0.00156806124165555,0.0525
CLEC17A,3.7565,1.11657797719094e-06,"0,0006"
CLEC19A,2.3508,0.000100572965459379,0.0099
CMTM5,1.7293,0.00231854512688062,0.0642
CNTN2,1.7041,0.00399026514745803,0.0839
COL4A5,1.7312,0.00468397312552177,0.0908
COL8A2,1.6544,6.4428889857994e-06,0.0017
CSF1R,2.1848,6.31917762488523e-08,"0,0001"
CSF2RA,2.0657,2.5285663284886e-05,0.0039
CTB-1I21.1,2.6207,0.000635254836526955,0.03
CX3CR1,3.0171,4.97379198126916e-06,0.0015
CYBB,1.6871,0.000953997544394378,0.0385
CYP4F12,2.4603,0.00232420171857958,0.0642
DEPDC7,2.1083,0.000128088192655271,0.0116
DHRS9,2.8339,1.00081811770785e-07,"0,0001"
DLX3,2.7063,0.00503147685723206,0.0946
DMRTA2,2.2716,0.000973047408345915,0.0389
DNAH17,3.0033,0.00101202078311703,0.0395
DOCK10,1.6742,0.000436713549633944,24
DOCK2,1.9124,1.04688129342199e-05,0.0022
DOCK8,2.0274,1.09131990927326e-07,"0,0001"
ENPP2,2.0528,0.00530440632254776,0.0968
ERBB3,1.8673,0.00160346814744449,53
EVI2A,2.6676,8.31754739382193e-06,0.0021
EVI2B,2.3585,1.56471061833905e-06,"0,0007"
F2RL1,2.1407,9.78237160621424e-05,0.0098
FA2H,2.5334,0.00230107718653691,0.0641
FCER2,3.3496,0.00018140111707458,0.0147
FCRLA,2.7051,0.000578435314748116,0.0286
FFAR1,2.79,0.0049333998891137,0.0934
FRMD4B,1619,0.00112978200930427,0.0415
GAL3ST1,1.7189,0.000867590187363471,36
GAL3ST4,1.7766,2.20436416587013e-06,"0,0009"
GFAP,2.2312,5.71637725628174e-05,0.0066
GHRL,1.7095,0.00449111558309604,0.0892
GIPR,2608,0.00128580440214623,0.0455
GJB1,2.8216,0.00098930160149288,0.0391
GLDN,1.8444,0.00300383581175613,0.0738
GPD1,2.0107,2.28204694501349e-06,"0,0009"
GPIHBP1,2.0783,0.00248969810252459,0.0661
GPNMB,1.7092,0.00232022741881567,0.0642
GPR17,2.8164,4.70349434951565e-09,0
GPR34,2.9003,5.47259768080505e-06,0.0016
GPR62,2.4322,0.000587425811389152,0.0288
HAAO,1.6151,0.000235488949188613,0.0169
HAGLR,2.4333,0.00286356235522143,0.0713
HBG2,3.2099,0.00448687916103451,0.0892
HCG22,3.2098,0.000182222080181901,0.0147
HOXD1,3.2966,0.000146655513257279,0.0128
HPGDS,2.0548,0.000394461274590144,0.0229
HSPA2,1.8671,0.00249685352028785,0.0661
ICOSLG,1.8447,0.00523824685902085,0.0962
IGSF6,2.0055,1.87693776525573e-05,0.0033
IQGAP3,1.9244,0.00538468345271906,0.0977
ITGAL,1986,0.000328407420474321,0.0206
ITGAM,1.5883,0.00027629525386096,0.0185
ITGB2,2.0614,5.55892849101949e-05,0.0065
ITPKB-IT1,2.8751,0.00117517750244665,0.0425
KCNE5,2742,0.000114277502789562,0.0108
KCNQ1,1.7491,9.44947079876895e-06,0.0022
KIF18B,2.5144,1.51871136455028e-05,3
KLK6,2.7075,0.00515862455297873,0.0955
LDB3,2.15,0.00108139129624995,0.0407
LILRA1,1.9606,3.85358697395243e-05,0.0051
LILRA2,1.6829,0.000573988117358401,0.0286
LILRB4,2.1514,6.1310152528419e-06,0.0017
LINC00323,1.7226,0.0018053037082893,57
LINC00639,2.3348,0.000387509434602921,0.0228
LINC00906,2.0035,0.000549092185366167,0.0277
LINC01013,2.0991,0.000687239093618194,31
LINC01447,2863,0.00303677194364308,74
LINC01480,1996,0.00244179143771536,0.0659
LINC01736,2.6772,9.80884657913182e-06,0.0022
LINC01877,2.6318,0.00405466464895732,0.0845
LINC01978,2.3339,0.00467305432913817,0.0907
LINC01992,2.7008,0.00271883637672471,0.0691
LINC02712,1.6413,0.00285392100703995,0.0711
LINC03002,1.9057,0.00200991103333899,0.0597
LINC03013,1.5878,0.00287955935354113,0.0716
LIPE,1.6175,0.00250668559977253,0.0662
LIPG,1.6988,0.00274536266360532,0.0691
LOC102723996,1.8447,0.00523824685902085,0.0962
LOC105371366,3.3233,2.22383382256893e-05,0.0036
LOC105379499,4.4686,8.93542232672818e-06,0.0022
LOC124901612,4.4167,4.47364472536071e-09,0
LOC124905312,1.7287,0.00446922636082303,89
LOC124905468,1.7287,0.00446922636082303,89
LOC124905527,1.7287,0.00446922636082303,89
LOC400627,3.2511,0.00239546908689121,0.0651
LOC729654,1.6472,0.00204167491518035,0.0605
LPAR4,1.7738,7.0586376039179e-05,0.0077
LPAR5,2.0351,1.02466916620362e-05,0.0022
LPCAT2,2.0319,4.48268762264158e-06,0.0014
LRRC63,2599,0.000180650364238639,0.0147
LSP1,2.0964,1.95605230660066e-05,0.0034
LST1,1.8336,0.000155745326845964,0.0133
LTF,4.0086,2.50532271325426e-08,"0,0001"
LURAP1L-AS1,2.5427,0.0023746289564296,0.0649
LY86,1.6902,0.000200497916398934,0.0157
MAG,2.7286,0.00168770639952807,0.0549
MOG,2.6857,0.000737276453637352,0.0321
MPEG1,1.8448,0.000135640603893012,0.0121
MROCKI,1.8095,0.00151252403766005,0.0515
MYRF,2.4314,0.0041279615808866,0.0854
NCKAP1L,1.6817,1.2114074585895e-05,0.0025
NFIA-AS2,1.7356,0.00118511338976083,0.0427
NINJ2,1.8767,0.00379157732549577,83
NIPAL4,3.2677,0.000394539274087407,0.0229
NPY,2.1686,0.000182404842591906,0.0147
NRAP,2.2484,0.000659329497639907,0.0303
NSUN7,2093,0.000207249803020419,16
NXPH4,1.6592,0.00206706563168408,0.0608
OLR1,2.2186,3.27460277142338e-05,0.0047
OVOS2,2.0188,8.46969336752058e-05,0.0089
P2RY12,2.3539,0.00311700896870075,0.0752
P2RY13,2.0635,3.9250156556428e-05,0.0052
PACC1,1.6949,0.00027035213090783,0.0184
PARP15,3.2411,4.19493219145276e-06,0.0014
PCSK9,2.4983,0.00441364974570176,0.0887
PDYN,4.1372,5.02595943688331e-07,"0,0004"
PIK3R5,1.6362,0.000517874258530974,0.0267
PLD1,1.7763,0.000627242709228162,0.03
PLD4,2.4432,2.16600181242255e-05,0.0035
PLVAP,2.2732,3.5209481137265e-08,"0,0001"
PLXNB3,1.8619,0.00132203990581798,0.0464
PPP1R14A,2.1518,0.000274004645989413,0.0185
PROK1,2.3391,0.000614687693834215,0.0297
PRPH,2.9716,6.05262356175271e-06,0.0017
PRR18,1901,0.00304981056132118,74
PTAFR,1.6111,0.000197356411629672,0.0156
PTGS1,1794,2.51656095774451e-05,0.0039
PTPRH,1.6,0.000609371410542565,0.0296
RASAL3,1.8906,0.000669058185534087,0.0305
RNASE6,1.8343,0.000473942356775795,0.0249
RNF125,1.7389,0.000972626175428961,0.0389
RPE65,2.0989,0.00107833376070885,0.0406
RRM2,2.2273,0.000717052880581338,0.0317
RTKN,1.7764,0.00200033731307786,0.0597
S1PR5,1.9875,0.00345717889644028,0.0795
SAMSN1,2.2319,9.71632638000982e-06,0.0022
SCIN,1.9283,0.0013457009266759,0.0469
SCN7A,1709,0.00343281977183283,0.0795
SCUBE1,1.6402,0.000446771424845562,0.0242
SDC1,2.6206,7.79897276666561e-05,0.0084
SELPLG,2.4388,8.68559059921666e-07,"0,0005"
SERPINA5,4.7019,0.00225590753109231,0.0637
SH3TC2-DT,3368,0.00105040169078424,0.0401
SIGLEC10,1838,0.00108554032649134,0.0407
SIGLEC11,1.5953,0.00451676047125071,0.0895
SIGLEC8,2.2288,0.000244034881252498,0.0173
SLC35D2-HSD17B3,2.8952,0.00364821530462407,0.0815
SLC45A3,2.6208,0.00186171854369479,0.0581
SLC47A2,3.8062,0.00182404869789591,0.0574
SLC5A11,2.7756,0.00323906595621265,0.0767
SLC6A5,9.3858,2.61122830998379e-07,"0,0002"
SLC6A9,1.7847,0.000108747275491261,0.0105
SLITRK6,2.1425,0.00549235313306278,0.0986
SMIM35,2.6941,0.00257086205054104,67
SMIM5,2.1902,0.00416463701279185,86
SMOC1,1645,3.37950765586701e-05,0.0048
SOX10,1.8259,0.000298910136516778,0.0199
SPOCD1,1.7801,0.00558850196791779,0.0998
ST18,2.3806,0.00237726186624239,0.0649
ST6GALNAC2,2.2812,0.000224749040884239,0.0167
STAC,2.0942,0.00550762071947314,0.0987
SUSD3,2.3616,4.93399404384619e-05,6
SYK,1.9813,6.35107747464052e-07,"0,0004"
SYNGR4,1.6713,0.00177178441140095,0.0564
TAC1,1.5857,0.000432219044461766,0.0238
TBX19,1.8602,0.00159995496211264,53
TBXAS1,1.9307,1.66474666767276e-05,0.0032
TENT5B,1.8346,0.000240472941479424,0.0172
TF,2.8509,0.000326080478443135,0.0206
TGFA,1.6429,0.00077154715919022,0.0331
TLR1,1.7102,6.15383710416996e-08,"0,0001"
TLR10,1.6187,0.00440176581084117,0.0887
TLR6,1.6693,0.000206245476126731,16
TMEM119,2.4856,4.8528682421744e-09,0
TMEM125,2.4065,9.37300075655442e-05,0.0095
TMEM156,1.9272,0.00290484336358306,0.0719
TMEM233,1.7343,0.00183941623348031,0.0576
TMEM235,2.7096,0.00330739224636916,0.0779
TMEM255A,1.8498,0.00197581635349858,0.0596
TMEM272,2.4864,0.000108113914191619,0.0105
TMEM63A,2.3794,0.000164902157874498,0.0138
TMEM88B,2.4392,0.00226857994289246,0.0637
TMIGD2,2.1749,3.56993539506491e-05,0.0049
TMPRSS5,2.1151,0.000293127055393632,0.0196
TMT1B,1.6573,0.00181283521136258,0.0571
TNC,2.5445,1.30307077295534e-06,"0,0006"
TNFAIP8L2,1.6894,0.000889188694565444,0.0367
TOP2A,2465,0.0041003008569113,0.0851
TREM2,2.6115,3.37339776858889e-06,0.0012
TREML1,1.8174,0.00467293681260863,0.0907
TRIM59,2.6928,0.000335111067302055,0.0209
TSPAN2,1.9043,0.000411714071286568,0.0236
TYMS,2.2136,0.000382893942660931,0.0228
UGT8,2.8198,2.98602963457053e-05,0.0044
WDFY4,1832,1.02097107594682e-05,0.0022
WDR49,1.6108,0.00360387627571509,0.0814
XIRP1,3.5478,2.52711327724519e-06,1
ZNF300,1655,3.57852462821885e-05,0.0049
